location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1315 Preacher Roe Blvd MO 65775,36.714687,-91.87453599999999,1.0,range_interpolation,1315.0,Preacher Roe Blvd,,,West Plains,MO,Howell County,65775,US,TIGER/Line® dataset from the US Census Bureau
602 S Harris St MO 65793,36.985828999999995,-91.976098,1.0,range_interpolation,602.0,S Harris St,,,Willow Springs,MO,Howell County,65793,US,TIGER/Line® dataset from the US Census Bureau
607 N Harris St MO 65793,36.995005,-91.966163,1.0,range_interpolation,607.0,N Harris St,,,Willow Springs,MO,Howell County,65793,US,TIGER/Line® dataset from the US Census Bureau
602 S Harris St MO 65793,36.985828999999995,-91.976098,1.0,range_interpolation,602.0,S Harris St,,,Willow Springs,MO,Howell County,65793,US,TIGER/Line® dataset from the US Census Bureau
607 N Harris St MO 65793,36.995005,-91.966163,1.0,range_interpolation,607.0,N Harris St,,,Willow Springs,MO,Howell County,65793,US,TIGER/Line® dataset from the US Census Bureau
501 W Lake St IL 60101,41.936951,-88.00099,1.0,rooftop,501.0,W Lake St,,,Addison,IL,DuPage County,60101,US,Dupage
410 W North Ave IL 60101,41.906023,-87.99831800000001,1.0,rooftop,410.0,W North Ave,,,Addison,IL,DuPage County,60101,US,Dupage
501 W Lake St IL 60101,41.936951,-88.00099,1.0,rooftop,501.0,W Lake St,,,Addison,IL,DuPage County,60101,US,Dupage
410 W North Ave IL 60101,41.906023,-87.99831800000001,1.0,rooftop,410.0,W North Ave,,,Addison,IL,DuPage County,60101,US,Dupage
125 S Randall Rd IL 60102,42.174492,-88.334713,1.0,rooftop,125.0,S Randall Rd,,,Algonquin,IL,McHenry County,60102,US,Mchenry
500 E Algonquin Rd IL 60102,42.164038,-88.28324599999999,1.0,rooftop,500.0,E Algonquin Rd,,,Algonquin,IL,McHenry County,60102,US,Mchenry
125 S Randall Rd IL 60102,42.174492,-88.334713,1.0,rooftop,125.0,S Randall Rd,,,Algonquin,IL,McHenry County,60102,US,Mchenry
500 E Algonquin Rd IL 60102,42.164038,-88.28324599999999,1.0,rooftop,500.0,E Algonquin Rd,,,Algonquin,IL,McHenry County,60102,US,Mchenry
2400 Homer M Adams Pkwy IL 62002,38.915874,-90.15195200000001,1.0,range_interpolation,2400.0,Homer M Adams Pkwy,,,Alton,IL,Madison County,62002,US,TIGER/Line® dataset from the US Census Bureau
717 E Broadway IL 62002,38.889446,-90.174685,1.0,range_interpolation,717.0,E Broadway,,,Alton,IL,Madison County,62002,US,TIGER/Line® dataset from the US Census Bureau
2400 Homer M Adams Pkwy IL 62002,38.915874,-90.15195200000001,1.0,range_interpolation,2400.0,Homer M Adams Pkwy,,,Alton,IL,Madison County,62002,US,TIGER/Line® dataset from the US Census Bureau
717 E Broadway IL 62002,38.889446,-90.174685,1.0,range_interpolation,717.0,E Broadway,,,Alton,IL,Madison County,62002,US,TIGER/Line® dataset from the US Census Bureau
1150 Main St IL 60002,42.471258,-88.094084,1.0,rooftop,1150.0,Main St,,,Antioch,IL,Lake County,60002,US,Lake
1280 Main St IL 60002,42.468342,-88.092551,1.0,range_interpolation,1280.0,Main St,,,Antioch,IL,Lake County,60002,US,TIGER/Line® dataset from the US Census Bureau
1150 Main St IL 60002,42.471258,-88.094084,1.0,rooftop,1150.0,Main St,,,Antioch,IL,Lake County,60002,US,Lake
1280 Main St IL 60002,42.468342,-88.092551,1.0,range_interpolation,1280.0,Main St,,,Antioch,IL,Lake County,60002,US,TIGER/Line® dataset from the US Census Bureau
15 E Dundee Rd IL 60004,42.138628000000004,-87.981314,1.0,rooftop,15.0,E Dundee Rd,,,Arlington Heights,IL,Cook County,60004,US,Cook
1920 N Arlington Heights Rd IL 60004,42.111585,-87.981189,1.0,rooftop,1920.0,N Arlington Heights Rd,,,Arlington Heights,IL,Cook County,60004,US,Cook
[600-698] E Dundee Rd IL 60004,42.138596,-87.973192,0.75,nearest_rooftop_match,625.0,E Dundee Rd,,,Arlington Heights,IL,Cook County,60004,US,Cook
45 W Northwest Hwy IL 60004,42.084246,-87.98347700000001,0.85,rooftop,45.0,W Northwest Hwy,,,Arlington Heights,IL,Cook County,60005,US,Cook
45 E Golf Rd IL 60005,42.050975,-87.978201,1.0,rooftop,45.0,E Golf Rd,,,Arlington Heights,IL,Cook County,60005,US,Cook
15 E Dundee Rd IL 60004,42.138628000000004,-87.981314,1.0,rooftop,15.0,E Dundee Rd,,,Arlington Heights,IL,Cook County,60004,US,Cook
1920 N Arlington Heights Rd IL 60004,42.111585,-87.981189,1.0,rooftop,1920.0,N Arlington Heights Rd,,,Arlington Heights,IL,Cook County,60004,US,Cook
[600-698] E Dundee Rd IL 60004,42.138596,-87.973192,0.75,nearest_rooftop_match,625.0,E Dundee Rd,,,Arlington Heights,IL,Cook County,60004,US,Cook
45 W Northwest Hwy IL 60004,42.084246,-87.98347700000001,0.85,rooftop,45.0,W Northwest Hwy,,,Arlington Heights,IL,Cook County,60005,US,Cook
45 E Golf Rd IL 60005,42.050975,-87.978201,1.0,rooftop,45.0,E Golf Rd,,,Arlington Heights,IL,Cook County,60005,US,Cook
425 N Eola Rd IL 60502,41.760965999999996,-88.242355,1.0,rooftop,425.0,N Eola Rd,,,Aurora,IL,DuPage County,60502,US,City of Aurora
2600 Beverly Dr IL 60502,41.807534000000004,-88.274783,0.84,nearest_rooftop_match,2570.0,Beverly Dr,,,Aurora,IL,Kane County,60502,US,City of Aurora
2230 South Eola Road IL 60503,41.714441,-88.253751,1.0,rooftop,2230.0,S Eola Rd,,,Aurora,IL,Will County,60503,US,City of Aurora
2595 Ogden Ave IL 60504,41.737513,-88.251793,1.0,rooftop,2595.0,Ogden Ave,,,Aurora,IL,DuPage County,60504,US,City of Aurora
4440 Fox Valley Center Road IL 60504,41.760825,-88.209841,1.0,range_interpolation,4440.0,Fox Valley Center Rd,,,Aurora,IL,DuPage County,60504,US,TIGER/Line® dataset from the US Census Bureau
188 Fox Valley Ctr IL 60504,41.759739,-88.2148,0.79,nearest_rooftop_match,195.0,Fox Valley Ctr,,,Aurora,IL,DuPage County,60504,US,Dupage
1185 N Farnsworth Ave IL 60505,41.781746999999996,-88.281137,1.0,rooftop,1185.0,N Farnsworth Ave,,,Aurora,IL,Kane County,60505,US,City of Aurora
711 E New York St IL 60505,41.753854,-88.300886,1.0,rooftop,711.0,E New York St,,,Aurora,IL,Kane County,60505,US,City of Aurora
2011 W Galena Blvd IL 60506,41.766937,-88.366166,1.0,rooftop,2011.0,W Galena Blvd,,,Aurora,IL,Kane County,60506,US,City of Aurora
350 W Galena Blvd IL 60506,41.760307,-88.321826,1.0,rooftop,350.0,W Galena Blvd,,,Aurora,IL,Kane County,60506,US,City of Aurora
1023 N Lake St IL 60506,41.778617,-88.315164,1.0,rooftop,1023.0,N Lake St,,,Aurora,IL,Kane County,60506,US,City of Aurora
1505 Butterfield Rd IL 60563,41.820531,-88.210245,0.6,street_center,,Butterfield Rd,,,Naperville,IL,DuPage County,60563,US,TIGER/Line® dataset from the US Census Bureau
425 N Eola Rd IL 60502,41.760965999999996,-88.242355,1.0,rooftop,425.0,N Eola Rd,,,Aurora,IL,DuPage County,60502,US,City of Aurora
2600 Beverly Dr IL 60502,41.807534000000004,-88.274783,0.84,nearest_rooftop_match,2570.0,Beverly Dr,,,Aurora,IL,Kane County,60502,US,City of Aurora
2230 South Eola Road IL 60503,41.714441,-88.253751,1.0,rooftop,2230.0,S Eola Rd,,,Aurora,IL,Will County,60503,US,City of Aurora
2595 Ogden Ave IL 60504,41.737513,-88.251793,1.0,rooftop,2595.0,Ogden Ave,,,Aurora,IL,DuPage County,60504,US,City of Aurora
4440 Fox Valley Center Road IL 60504,41.760825,-88.209841,1.0,range_interpolation,4440.0,Fox Valley Center Rd,,,Aurora,IL,DuPage County,60504,US,TIGER/Line® dataset from the US Census Bureau
188 Fox Valley Ctr IL 60504,41.759739,-88.2148,0.79,nearest_rooftop_match,195.0,Fox Valley Ctr,,,Aurora,IL,DuPage County,60504,US,Dupage
1185 N Farnsworth Ave IL 60505,41.781746999999996,-88.281137,1.0,rooftop,1185.0,N Farnsworth Ave,,,Aurora,IL,Kane County,60505,US,City of Aurora
711 E New York St IL 60505,41.753854,-88.300886,1.0,rooftop,711.0,E New York St,,,Aurora,IL,Kane County,60505,US,City of Aurora
2011 W Galena Blvd IL 60506,41.766937,-88.366166,1.0,rooftop,2011.0,W Galena Blvd,,,Aurora,IL,Kane County,60506,US,City of Aurora
350 W Galena Blvd IL 60506,41.760307,-88.321826,1.0,rooftop,350.0,W Galena Blvd,,,Aurora,IL,Kane County,60506,US,City of Aurora
1023 N Lake St IL 60506,41.778617,-88.315164,1.0,rooftop,1023.0,N Lake St,,,Aurora,IL,Kane County,60506,US,City of Aurora
1505 Butterfield Rd IL 60563,41.820531,-88.210245,0.6,street_center,,Butterfield Rd,,,Naperville,IL,DuPage County,60563,US,TIGER/Line® dataset from the US Census Bureau
1 Plaza Dr IL 62618,40.002837,-90.441582,1.0,range_interpolation,1.0,Plaza Dr,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
80 Plaza Dr IL 62618,40.003077000000005,-90.440763,1.0,range_interpolation,80.0,Plaza Dr,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
1 Plaza Dr IL 62618,40.002837,-90.441582,1.0,range_interpolation,1.0,Plaza Dr,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
80 Plaza Dr IL 62618,40.003077000000005,-90.440763,1.0,range_interpolation,80.0,Plaza Dr,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
125 S Belt E IL 62220,38.502787,-89.982055,1.0,rooftop,125.0,S Belt E,,,Belleville,IL,St. Clair County,62220,US,St Clair
906 Carlyle Ave IL 62221,38.517427000000005,-89.949021,1.0,rooftop,906.0,Carlyle Ave,,,Belleville,IL,St. Clair County,62221,US,St Clair
1141 North Green Mount Road IL 62221,38.569264000000004,-89.92959300000001,0.9,rooftop,1141.0,N Greenmount Rd,,,Belleville,IL,St. Clair County,62221,US,St Clair
7301 Westfield Plaza Dr IL 62223,38.544686999999996,-90.051757,1.0,rooftop,7301.0,Westfield Plaza Dr,,,Belleville,IL,St. Clair County,62223,US,St Clair
2605 N Illinois St IL 62226,38.541999,-89.984314,1.0,rooftop,2605.0,N Illinois St,,,Swansea,IL,St. Clair County,62226,US,St Clair
4422 W Main St IL 62226,38.539956,-90.02322099999999,1.0,rooftop,4422.0,W Main St,,,Belleville,IL,St. Clair County,62226,US,St Clair
159 Fullerton Rd IL 62226,38.54165,-89.993325,1.0,range_interpolation,159.0,Fullerton Rd,,,Swansea,IL,St. Clair County,62226,US,TIGER/Line® dataset from the US Census Bureau
125 S Belt E IL 62220,38.502787,-89.982055,1.0,rooftop,125.0,S Belt E,,,Belleville,IL,St. Clair County,62220,US,St Clair
906 Carlyle Ave IL 62221,38.517427000000005,-89.949021,1.0,rooftop,906.0,Carlyle Ave,,,Belleville,IL,St. Clair County,62221,US,St Clair
1141 North Green Mount Road IL 62221,38.569264000000004,-89.92959300000001,0.9,rooftop,1141.0,N Greenmount Rd,,,Belleville,IL,St. Clair County,62221,US,St Clair
7301 Westfield Plaza Dr IL 62223,38.544686999999996,-90.051757,1.0,rooftop,7301.0,Westfield Plaza Dr,,,Belleville,IL,St. Clair County,62223,US,St Clair
2605 N Illinois St IL 62226,38.541999,-89.984314,1.0,rooftop,2605.0,N Illinois St,,,Swansea,IL,St. Clair County,62226,US,St Clair
4422 W Main St IL 62226,38.539956,-90.02322099999999,1.0,rooftop,4422.0,W Main St,,,Belleville,IL,St. Clair County,62226,US,St Clair
159 Fullerton Rd IL 62226,38.54165,-89.993325,1.0,range_interpolation,159.0,Fullerton Rd,,,Swansea,IL,St. Clair County,62226,US,TIGER/Line® dataset from the US Census Bureau
5111 Pearl Street Road IL 61008,42.233875,-88.841599,1.0,range_interpolation,5111.0,Pearl Street Rd,,,Belvidere,IL,Boone County,61008,US,TIGER/Line® dataset from the US Census Bureau
2500 Pearl St IL 61008,42.234341,-88.83484399999999,1.0,rooftop,2500.0,Pearl St,,,Belvidere,IL,Boone County,61008,US,Boone
240 W Chrysler Dr IL 61008,42.239683,-88.840536,0.8,rooftop,240.0,Chrysler Dr,,,Belvidere,IL,Boone County,61008,US,Boone
1313 N State St IL 61008,42.269118,-88.85342299999999,1.0,rooftop,1313.0,N State St,,,Belvidere,IL,Boone County,61008,US,Boone
5111 Pearl Street Road IL 61008,42.233875,-88.841599,1.0,range_interpolation,5111.0,Pearl Street Rd,,,Belvidere,IL,Boone County,61008,US,TIGER/Line® dataset from the US Census Bureau
2500 Pearl St IL 61008,42.234341,-88.83484399999999,1.0,rooftop,2500.0,Pearl St,,,Belvidere,IL,Boone County,61008,US,Boone
240 W Chrysler Dr IL 61008,42.239683,-88.840536,0.8,rooftop,240.0,Chrysler Dr,,,Belvidere,IL,Boone County,61008,US,Boone
1313 N State St IL 61008,42.269118,-88.85342299999999,1.0,rooftop,1313.0,N State St,,,Belvidere,IL,Boone County,61008,US,Boone
630 Il Route 83 IL 60106,41.973198,-87.958362,0.76,nearest_rooftop_match,611.0,IL Route 83,,,Bensenville,IL,DuPage County,60106,US,Dupage
550 Il Route 83 IL 60106,41.973198,-87.958362,0.68,nearest_rooftop_match,611.0,IL Route 83,,,Bensenville,IL,DuPage County,60106,US,Dupage
55 N York Rd IL 60106,41.957678,-87.939126,1.0,rooftop,55.0,N York Rd,,,Bensenville,IL,DuPage County,60106,US,Dupage
630 Il Route 83 IL 60106,41.973198,-87.958362,0.76,nearest_rooftop_match,611.0,IL Route 83,,,Bensenville,IL,DuPage County,60106,US,Dupage
550 Il Route 83 IL 60106,41.973198,-87.958362,0.68,nearest_rooftop_match,611.0,IL Route 83,,,Bensenville,IL,DuPage County,60106,US,Dupage
55 N York Rd IL 60106,41.957678,-87.939126,1.0,rooftop,55.0,N York Rd,,,Bensenville,IL,DuPage County,60106,US,Dupage
6900 Ogden Ave IL 60402,41.825905,-87.795389,1.0,rooftop,6900.0,Ogden Ave,,,Berwyn,IL,Cook County,60402,US,Cook
7181 Cermak Rd IL 60402,41.850086,-87.803217,1.0,rooftop,7181.0,Cermak Rd,,,Berwyn,IL,Cook County,60402,US,Cook
7031 Ogden Avenue IL 60402,41.825407,-87.799126,1.0,rooftop,7031.0,Ogden Ave,,,Berwyn,IL,Cook County,60402,US,Cook
7135 Roosevelt Rd IL 60402,41.864833000000004,-87.803151,1.0,range_interpolation,7135.0,Roosevelt Rd,,,Berwyn,IL,Cook County,60402,US,TIGER/Line® dataset from the US Census Bureau
6401 Cermak Rd IL 60402,41.850402,-87.784026,1.0,rooftop,6401.0,Cermak Rd,,,Berwyn,IL,Cook County,60402,US,Cook
6900 Ogden Ave IL 60402,41.825905,-87.795389,1.0,rooftop,6900.0,Ogden Ave,,,Berwyn,IL,Cook County,60402,US,Cook
7181 Cermak Rd IL 60402,41.850086,-87.803217,1.0,rooftop,7181.0,Cermak Rd,,,Berwyn,IL,Cook County,60402,US,Cook
7031 Ogden Avenue IL 60402,41.825407,-87.799126,1.0,rooftop,7031.0,Ogden Ave,,,Berwyn,IL,Cook County,60402,US,Cook
7135 Roosevelt Rd IL 60402,41.864833000000004,-87.803151,1.0,range_interpolation,7135.0,Roosevelt Rd,,,Berwyn,IL,Cook County,60402,US,TIGER/Line® dataset from the US Census Bureau
6401 Cermak Rd IL 60402,41.850402,-87.784026,1.0,rooftop,6401.0,Cermak Rd,,,Berwyn,IL,Cook County,60402,US,Cook
72 Stratford Dr IL 60108,41.951331,-88.11679699999999,1.0,range_interpolation,72.0,Stratford Dr,,,Bloomingdale,IL,DuPage County,60108,US,TIGER/Line® dataset from the US Census Bureau
101 E Lake St IL 60108,41.958244,-88.080579,1.0,rooftop,101.0,E Lake St,,,Bloomingdale,IL,DuPage County,60108,US,Dupage
72 Stratford Dr IL 60108,41.951331,-88.11679699999999,1.0,range_interpolation,72.0,Stratford Dr,,,Bloomingdale,IL,DuPage County,60108,US,TIGER/Line® dataset from the US Census Bureau
101 E Lake St IL 60108,41.958244,-88.080579,1.0,rooftop,101.0,E Lake St,,,Bloomingdale,IL,DuPage County,60108,US,Dupage
525 Brock Dr IL 61701,40.483394,-89.023258,1.0,rooftop,525.0,Brock Dr,,,Bloomington,IL,McLean County,61701,US,Mclean
2507 E Oakland Ave IL 61701,40.471998,-88.953294,1.0,rooftop,2507.0,E Oakland Ave,,,Bloomington,IL,McLean County,61701,US,Mclean
1610 E Empire St IL 61701,40.4889,-88.956092,1.0,rooftop,1610.0,E Empire St,,,Bloomington,IL,McLean County,61701,US,Mclean
1607 Commerce Pkwy IL 61704,40.457370000000004,-88.975716,1.0,rooftop,1607.0,Commerce Pkwy,,,Bloomington,IL,McLean County,61704,US,Mclean
2410 S Main St IL 61704,40.44943,-88.991477,1.0,rooftop,2410.0,S Main St,,,Bloomington,IL,McLean County,61704,US,Mclean
525 Brock Dr IL 61701,40.483394,-89.023258,1.0,rooftop,525.0,Brock Dr,,,Bloomington,IL,McLean County,61701,US,Mclean
2507 E Oakland Ave IL 61701,40.471998,-88.953294,1.0,rooftop,2507.0,E Oakland Ave,,,Bloomington,IL,McLean County,61701,US,Mclean
1610 E Empire St IL 61701,40.4889,-88.956092,1.0,rooftop,1610.0,E Empire St,,,Bloomington,IL,McLean County,61701,US,Mclean
1607 Commerce Pkwy IL 61704,40.457370000000004,-88.975716,1.0,rooftop,1607.0,Commerce Pkwy,,,Bloomington,IL,McLean County,61704,US,Mclean
2410 S Main St IL 61704,40.44943,-88.991477,1.0,rooftop,2410.0,S Main St,,,Bloomington,IL,McLean County,61704,US,Mclean
840 East Boughton Road IL 60440,41.726620000000004,-88.032205,1.0,rooftop,840.0,E Boughton Rd,,,Bolingbrook,IL,Will County,60440,US,Will
100 N Bolingbrook Dr IL 60440,41.698966999999996,-88.067701,1.0,rooftop,100.0,N Bolingbrook Dr,,,Bolingbrook,IL,Will County,60440,US,Will
295 N Weber Rd IL 60490,41.704337,-88.126651,1.0,rooftop,295.0,N Weber Rd,,,Bolingbrook,IL,Will County,60490,US,Will
840 East Boughton Road IL 60440,41.726620000000004,-88.032205,1.0,rooftop,840.0,E Boughton Rd,,,Bolingbrook,IL,Will County,60440,US,Will
100 N Bolingbrook Dr IL 60440,41.698966999999996,-88.067701,1.0,rooftop,100.0,N Bolingbrook Dr,,,Bolingbrook,IL,Will County,60440,US,Will
295 N Weber Rd IL 60490,41.704337,-88.126651,1.0,rooftop,295.0,N Weber Rd,,,Bolingbrook,IL,Will County,60490,US,Will
575 Main St Nw IL 60914,41.159659999999995,-87.886448,1.0,rooftop,575.0,Main St NW,,,Bourbonnais,IL,Kankakee County,60914,US,Kankakee
9 Briarcliff Prof Ctr IL 60914,41.153202,-87.893553,1.0,range_interpolation,9.0,Briarcliff Prof Ctr,,,Bourbonnais,IL,Kankakee County,60914,US,TIGER/Line® dataset from the US Census Bureau
2050 N State Route 50 IL 60914,41.188116,-87.850162,1.0,rooftop,2050.0,N State Rte 50,,,Bourbonnais,IL,Kankakee County,60914,US,Kankakee
575 Main St Nw IL 60914,41.159659999999995,-87.886448,1.0,rooftop,575.0,Main St NW,,,Bourbonnais,IL,Kankakee County,60914,US,Kankakee
9 Briarcliff Prof Ctr IL 60914,41.153202,-87.893553,1.0,range_interpolation,9.0,Briarcliff Prof Ctr,,,Bourbonnais,IL,Kankakee County,60914,US,TIGER/Line® dataset from the US Census Bureau
2050 N State Route 50 IL 60914,41.188116,-87.850162,1.0,rooftop,2050.0,N State Rte 50,,,Bourbonnais,IL,Kankakee County,60914,US,Kankakee
7701 S Harlem Ave IL 60453,41.751208,-87.79939499999999,0.85,rooftop,7701.0,Harlem Ave,,,Bridgeview,IL,Cook County,60455,US,Cook
7920 W 79th St IL 60455,41.747834000000005,-87.817126,1.0,range_interpolation,7920.0,W 79th St,,,Bridgeview,IL,Cook County,60455,US,TIGER/Line® dataset from the US Census Bureau
7170 W 87th St IL 60455,41.733667,-87.798249,1.0,range_interpolation,7170.0,W 87th St,,,Bridgeview,IL,Cook County,60455,US,TIGER/Line® dataset from the US Census Bureau
8611 S Harlem Ave IL 60455,41.735136,-87.799029,1.0,range_interpolation,8611.0,S Harlem Ave,,,Bridgeview,IL,Cook County,60455,US,TIGER/Line® dataset from the US Census Bureau
7701 S Harlem Ave IL 60453,41.751208,-87.79939499999999,0.85,rooftop,7701.0,Harlem Ave,,,Bridgeview,IL,Cook County,60455,US,Cook
7920 W 79th St IL 60455,41.747834000000005,-87.817126,1.0,range_interpolation,7920.0,W 79th St,,,Bridgeview,IL,Cook County,60455,US,TIGER/Line® dataset from the US Census Bureau
7170 W 87th St IL 60455,41.733667,-87.798249,1.0,range_interpolation,7170.0,W 87th St,,,Bridgeview,IL,Cook County,60455,US,TIGER/Line® dataset from the US Census Bureau
8611 S Harlem Ave IL 60455,41.735136,-87.799029,1.0,range_interpolation,8611.0,S Harlem Ave,,,Bridgeview,IL,Cook County,60455,US,TIGER/Line® dataset from the US Census Bureau
600 Broadview Village Sq IL 60153,41.8792,-87.84312,0.22,place,,,,,Maywood,IL,Cook County,60153,US,TIGER/Line® dataset from the US Census Bureau
6000 Broadview Village Sq IL 60155,41.850442,-87.851727,1.0,rooftop,6000.0,Broadview Village Sq,,,Broadview,IL,Cook County,60155,US,Cook
600 Broadview Village Sq IL 60153,41.8792,-87.84312,0.22,place,,,,,Maywood,IL,Cook County,60153,US,TIGER/Line® dataset from the US Census Bureau
6000 Broadview Village Sq IL 60155,41.850442,-87.851727,1.0,rooftop,6000.0,Broadview Village Sq,,,Broadview,IL,Cook County,60155,US,Cook
2004 Sibley Blvd IL 60409,41.623148,-87.573867,1.0,rooftop,2004.0,Sibley Blvd,,,Calumet City,IL,Cook County,60409,US,Cook
70 River Oaks Center Dr Ste A IL 60409,41.595723,-87.532749,1.0,range_interpolation,70.0,River Oaks Center Dr,Ste,A,Calumet City,IL,Cook County,60409,US,TIGER/Line® dataset from the US Census Bureau
656 River Oaks Dr IL 60409,41.60042,-87.541031,1.0,rooftop,656.0,River Oaks Dr,,,Calumet City,IL,Cook County,60409,US,Cook
2004 Sibley Blvd IL 60409,41.623148,-87.573867,1.0,rooftop,2004.0,Sibley Blvd,,,Calumet City,IL,Cook County,60409,US,Cook
70 River Oaks Center Dr Ste A IL 60409,41.595723,-87.532749,1.0,range_interpolation,70.0,River Oaks Center Dr,Ste,A,Calumet City,IL,Cook County,60409,US,TIGER/Line® dataset from the US Census Bureau
656 River Oaks Dr IL 60409,41.60042,-87.541031,1.0,rooftop,656.0,River Oaks Dr,,,Calumet City,IL,Cook County,60409,US,Cook
2101 W Main St IL 62901,37.730589,-89.24453000000001,1.0,range_interpolation,2101.0,W Main St,,,Carbondale,IL,Jackson County,62901,US,TIGER/Line® dataset from the US Census Bureau
1920 N Illinois Ave IL 62901,37.751957,-89.220109,1.0,rooftop,1920.0,N Illinois Ave,,,Carbondale,IL,Jackson County,62901,US,Jackson
1396 E Main St IL 62901,37.735011,-89.186735,0.9,range_interpolation,1396.0,E Main St,,,Carbondale,IL,Jackson County,62901,US,TIGER/Line® dataset from the US Census Bureau
2101 W Main St IL 62901,37.730589,-89.24453000000001,1.0,range_interpolation,2101.0,W Main St,,,Carbondale,IL,Jackson County,62901,US,TIGER/Line® dataset from the US Census Bureau
1920 N Illinois Ave IL 62901,37.751957,-89.220109,1.0,rooftop,1920.0,N Illinois Ave,,,Carbondale,IL,Jackson County,62901,US,Jackson
1396 E Main St IL 62901,37.735011,-89.186735,0.9,range_interpolation,1396.0,E Main St,,,Carbondale,IL,Jackson County,62901,US,TIGER/Line® dataset from the US Census Bureau
355 S Schmale Rd IL 60187,41.894009999999994,-88.10242,0.85,rooftop,355.0,S Schmale Rd,,,Carol Stream,IL,DuPage County,60188,US,Dupage
1335 N County Farm Rd IL 60188,41.939792,-88.150227,1.0,range_interpolation,1335.0,N County Farm Rd,,,Carol Stream,IL,DuPage County,60188,US,TIGER/Line® dataset from the US Census Bureau
355 S Schmale Rd IL 60187,41.894009999999994,-88.10242,0.85,rooftop,355.0,S Schmale Rd,,,Carol Stream,IL,DuPage County,60188,US,Dupage
1335 N County Farm Rd IL 60188,41.939792,-88.150227,1.0,range_interpolation,1335.0,N County Farm Rd,,,Carol Stream,IL,DuPage County,60188,US,TIGER/Line® dataset from the US Census Bureau
1660 S Kennedy Dr IL 60110,42.114671,-88.257797,1.0,range_interpolation,1660.0,S Kennedy Dr,,,Carpentersville,IL,Kane County,60110,US,TIGER/Line® dataset from the US Census Bureau
2290 Randall Rd IL 60110,42.123509999999996,-88.336207,1.0,rooftop,2290.0,Randall Rd,,,Carpentersville,IL,Kane County,60110,US,Kane
1660 S Kennedy Dr IL 60110,42.114671,-88.257797,1.0,range_interpolation,1660.0,S Kennedy Dr,,,Carpentersville,IL,Kane County,60110,US,TIGER/Line® dataset from the US Census Bureau
2290 Randall Rd IL 60110,42.123509999999996,-88.336207,1.0,rooftop,2290.0,Randall Rd,,,Carpentersville,IL,Kane County,60110,US,Kane
810 E Broadway IL 62801,38.52626,-89.12402800000001,1.0,range_interpolation,810.0,E Broadway,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
1485 W Broadway IL 62801,38.529065,-89.142673,0.6,street_center,,W Broadway,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
810 E Broadway IL 62801,38.52626,-89.12402800000001,1.0,range_interpolation,810.0,E Broadway,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
1485 W Broadway IL 62801,38.529065,-89.142673,0.6,street_center,,W Broadway,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
3 Henson Pl IL 61820,40.133619,-88.24813,1.0,rooftop,3.0,Henson Pl,,,Champaign,IL,Champaign County,61820,US,Champaign
1812 N Neil St IL 61820,40.137558,-88.243053,1.0,rooftop,1812.0,N Neil St,,,Champaign,IL,Champaign County,61820,US,Champaign
301 E Gregory Dr IL 61820,40.103949,-88.23695699999999,1.0,range_interpolation,301.0,E Gregory Dr,,,Champaign,IL,Champaign County,61820,US,TIGER/Line® dataset from the US Census Bureau
616 E Green St IL 61820,40.110436,-88.229312,1.0,rooftop,616.0,E Green St,,,Champaign,IL,Champaign County,61820,US,Champaign
1605 S Neil St IL 61820,40.097545000000004,-88.245294,1.0,rooftop,1605.0,S Neil St,,,Champaign,IL,Champaign County,61820,US,Champaign
182 North Neil Street IL 61820,40.117427,-88.24337,1.0,range_interpolation,182.0,N Neil St,,,Champaign,IL,Champaign County,61820,US,TIGER/Line® dataset from the US Census Bureau
906 West Bloomington Road IL 61821,40.133722999999996,-88.261143,1.0,range_interpolation,906.0,W Bloomington Rd,,,Champaign,IL,Champaign County,61821,US,TIGER/Line® dataset from the US Census Bureau
906 West Bloomington Road IL 61821,40.133722999999996,-88.261143,1.0,range_interpolation,906.0,W Bloomington Rd,,,Champaign,IL,Champaign County,61821,US,TIGER/Line® dataset from the US Census Bureau
501 N Mattis Ave IL 61821,40.120591,-88.27742099999999,1.0,rooftop,501.0,N Mattis Ave,,,Champaign,IL,Champaign County,61821,US,Champaign
2909 W Kirby Ave IL 61821,40.097912,-88.293906,1.0,rooftop,2909.0,W Kirby Ave,,,Champaign,IL,Champaign County,61821,US,Champaign
4910 N Market St IL 61822,40.177575,-88.240425,1.0,rooftop,4910.0,N Market St,,,Champaign,IL,Champaign County,61822,US,Champaign
